,SM300-Efficiency_filenames,SM300-Efficiency_importance,SM300-Efficiency_original_index,SM300-Rate_filenames,SM300-Rate_importance,SM300-Rate_original_index,SM300-Lag_filenames,SM300-Lag_importance,SM300-Lag_original_index,SM300-AUC_filenames,SM300-AUC_importance,SM300-AUC_original_index,SM60-Efficiency_filenames,SM60-Efficiency_importance,SM60-Efficiency_original_index,SM60-Rate_filenames,SM60-Rate_importance,SM60-Rate_original_index,SM60-Lag_filenames,SM60-Lag_importance,SM60-Lag_original_index,SM60-AUC_filenames,SM60-AUC_importance,SM60-AUC_original_index,Ratio-Efficiency_filenames,Ratio-Efficiency_importance,Ratio-Efficiency_original_index,Ratio-Rate_filenames,Ratio-Rate_importance,Ratio-Rate_original_index,Ratio-Lag_filenames,Ratio-Lag_importance,Ratio-Lag_original_index,Ratio-AUC_filenames,Ratio-AUC_importance,Ratio-AUC_original_index
0,YHL020C,0.0498596611789304,893,YJL144W,0.000861860057902,94,YBR108W,0.4446892769476651,1355,YHL020C,1.2324330180689873,893,YNL338W,0.0756801487831653,140,YCL059C,0.0,95,YER056C,0.8148224238693657,356,YPL264C,0.7473438320869571,196,YJL191W,0.0336560341229901,220,YCL059C,0.0,122,YCL059C,0.0,122,YCL059C,-0.0,107
1,YIL149C,0.0395531677980664,530,YER041W,0.0008252351003697,1421,YER008C,0.4214346261520242,275,YIL149C,0.974972356425058,530,YBL109W,0.0597675343107852,207,YOR017W,-0.0,374,YCL051W,0.6229333458691901,1270,YHR205W,0.7188497130174065,582,YCL059C,-0.0,107,YOR017W,-0.0,779,YGR013W,-0.0,195,YFL021W,-0.0,34
2,YDR040C,0.0349007306760057,302,YDL115C,0.0007739600781505,7,YOL140W,0.2977244831962485,497,YJR078W,0.7096472209154001,564,YDL039C,0.0543054847696398,3433,YOR017W,-0.0,374,YOL123W,0.4466288601512683,285,YNR052C,0.7133584623045498,254,YJR059W,-0.0,1304,YOR017W,-0.0,494,YGR013W,-0.0,51,YOR017W,0.0,610
3,YLL008W,0.0347916278239852,627,YBR065C,0.000715430560139,453,YEL049W,0.2940490388912784,163,YKR002W,0.6832113097534985,318,YAR050W,0.0532085024415605,3189,YOR017W,0.0,414,YHR043C,0.2910573500732633,443,YOR192C,0.5963503150569804,359,YJR059W,-0.0,1815,YOR017W,0.0,494,YGR013W,0.0,144,YOR017W,0.0,647
4,YDR062W,0.0311812621549844,443,YOR247W,0.0005082391399602,238,YLR206W,0.2894583411713261,366,YIL130W,0.5471363789628675,2259,YJL212C,0.0419199969565102,769,YOR017W,0.0,414,YGR166W,0.2843178403925424,556,YKR058W,0.5904394208562044,1038,YJR059W,0.0,1815,YOR017W,-0.0,515,YGR013W,-0.0,144,YOR017W,-0.0,647
5,YNL179C,0.0297134790390777,161,YNL216W,0.0003066124658658,354,YPL064C,0.2755653753444709,81,YDL115C,0.443362390155927,7,YBR067C,0.0367764486853452,487,YOR017W,-0.0,414,YLR426W,0.2824026664921477,35,YCL045C,0.561295032335649,786,YGR013W,-0.0,8,YOR017W,0.0,515,YGR013W,0.0,191,YOR017W,0.0,647
6,YBL058W,0.028243102838029,278,YDR005C,0.0002821137166727,109,YDL244W,0.2699745399023764,882,YCR087W,0.4415188417223482,259,YPL190C,0.0363902478417885,189,YOR017W,0.0,451,YOR053W,0.2551214150603905,259,YMR016C,0.5601840460102815,269,YGR013W,0.0,8,YOR017W,0.0,647,YGR013W,-0.0,191,YOR017W,-0.0,779
7,YFL017C,0.0281990268408532,42,YJL127C,0.000243239751724,393,YGR248W,0.2667245614512428,242,YML085C,0.426322261883942,116,YMR292W,0.0352145765370389,127,YOR017W,-0.0,451,YER133W,0.2450101338487607,388,YOR054C,0.5599615832266118,1479,YGR013W,-0.0,27,YOR017W,-0.0,647,YGR013W,0.0,191,YOR017W,-0.0,779
8,YFL021W,0.028072539721817,68,YKR068C,0.0001475060178101,452,YBR098W,0.2600882969757017,201,YMR165C,0.4252917233386683,1046,YNL176C,0.0349242226008012,608,YOR017W,0.0,451,YFR027W,0.2363828128484099,20,YNR044W,0.5076821571322472,1272,YGR013W,0.0,27,YOR017W,0.0,647,YGR013W,0.0,195,YOR017W,0.0,779
9,YKR095W,0.0269430109462678,1010,YDR073W,0.000144277802789,158,YER066W,0.258397854984536,587,YDR397C,0.4222939028031922,76,YIL082W,0.0346728176283726,426,YOR017W,-0.0,505,YOR038C,0.2025059929811647,956,YLR311C,0.5025958466875479,115,YGR013W,-0.0,27,YOR017W,-0.0,779,YGR013W,-0.0,201,YFL021W,0.0,34
