,SM300-Efficiency_filenames,SM300-Efficiency_importance,SM300-Efficiency_original_index,SM300-Rate_filenames,SM300-Rate_importance,SM300-Rate_original_index,SM300-Lag_filenames,SM300-Lag_importance,SM300-Lag_original_index,SM300-AUC_filenames,SM300-AUC_importance,SM300-AUC_original_index,SM60-Efficiency_filenames,SM60-Efficiency_importance,SM60-Efficiency_original_index,SM60-Rate_filenames,SM60-Rate_importance,SM60-Rate_original_index,SM60-Lag_filenames,SM60-Lag_importance,SM60-Lag_original_index,SM60-AUC_filenames,SM60-AUC_importance,SM60-AUC_original_index,Ratio-Efficiency_filenames,Ratio-Efficiency_importance,Ratio-Efficiency_original_index,Ratio-Rate_filenames,Ratio-Rate_importance,Ratio-Rate_original_index,Ratio-Lag_filenames,Ratio-Lag_importance,Ratio-Lag_original_index,Ratio-AUC_filenames,Ratio-AUC_importance,Ratio-AUC_original_index
0,YEL070W,0.0019252691175545,164,YIL159W,0.0019176081860308,1229,YBR023C,0.0011039370205503,1285,YIL045W,0.0014950472620551,298,YGL139W,0.0018806358784035,40,YBR295W,0.0014825610991368,553,YEL059W,0.0023815583843483,83,YOL123W,0.0016335388365417,77,YJL126W,0.0015473017350494,473,YLR237W,0.0017386065499288,82,YML098W,0.0018128220399026,68,YHR170W,0.0011697336665655,39
1,YJL217W,0.0018463233339523,154,YLL055W,0.0014698370750011,343,YPL053C,0.0010605377977643,351,YIL054W,0.0013832233276408,38,YPL263C,0.0013315049687656,398,YNL279W,0.0010913846997932,44,YDL094C,0.0022830323015813,347,YMR318C,0.0009888006026924,79,YDR348C,0.0015061892969462,558,YKR100C,0.0016511632950885,507,YBR171W,0.0014509146318926,167,YHR092C,0.0008636992182484,230
2,YIL163C,0.0017739618446078,216,YFL024C,0.0014563043814119,2456,YBR112C,0.0010085880099729,1976,YIL006W,0.0012927037400552,134,YJL154C,0.0013226001563839,1502,YCR067C,0.0010892947545896,913,YNL287W,0.0020799459232329,252,YLR051C,0.0009675313913813,89,YEL025C,0.0014396008768785,1002,YDR413C,0.0016400135425889,203,YER007W,0.0014372698549683,793,YKR099W,0.0008548278355493,1027
3,YJL217W,0.0015831914199973,522,YNR026C,0.0014157274079852,846,YDR127W,0.0009699829433804,4702,YJL214W,0.0012229601878781,1071,YFR034C,0.0012675612795309,26,YDL082W,0.0010653166967664,362,YPL176C,0.0020191969801112,562,YMR016C,0.0009287002777915,269,YGL004C,0.0012263168626246,337,YDR411C,0.001577524131949,333,YGL057C,0.001415799174578,430,YDR330W,0.0008406035595057,626
4,YDL048C,0.0015623161764589,703,YGR017W,0.0014009328535426,198,YDL159W,0.0009492999771548,101,YMR167W,0.0012119364179665,785,YER111C,0.0010732865356779,1034,YOL009C,0.0009883185766086,366,YPL146C,0.0020091359780986,429,YDR372C,0.0009169942224132,234,YDL166C,0.0012085798679963,67,YDR348C,0.0015623474637674,558,YOR263C,0.0013932435831916,61,YLR032W,0.0008063753828725,1102
5,YAR008W,0.0013956457867088,68,YKL068W,0.0013935930640434,16,YLR339C,0.0009462582041026,155,YIL074C,0.0012026811345315,108,YJL212C,0.0010535905423351,769,YOR281C,0.0009810322545229,292,YDR361C,0.001948762959836,275,YBR126C,0.0008844613356534,215,YPL229W,0.0011905563832691,221,YPL229W,0.0014700686397055,221,YLR233C,0.0013909206674466,1541,YFR032C,0.0007988641296876,347
6,YGR083C,0.0013786380756495,278,YOR256C,0.0013061362093596,26,YIL052C,0.0009245419323631,438,YHR139C,0.0011732989103301,177,YOL084W,0.0009764723179313,1655,YOL148C,0.0009667827894289,86,YML115C,0.0018359214080889,610,YLR106C,0.0008422517224641,9300,YLL032C,0.0011799306640362,1370,YDR348C,0.0014569103091302,558,YKL156W,0.0013900205007805,245,YPL011C,0.0007911473623555,145
7,YHR056C,0.0013367490059122,1011,YGR012W,0.0012935992104823,626,YGR244C,0.0009174411627698,614,YHR051W,0.0011687135503866,241,YOR172W,0.0009708196056654,588,YPL011C,0.0009416917335601,131,YIL162W,0.0017249493974991,296,YDR372C,0.000791737353351,234,YPR092W,0.0011659367812354,148,YOR303W,0.0014298908339165,529,YNR060W,0.0013114416603665,841,YLR176C,0.0007788063512911,1531
8,YBR140C,0.0012641186716519,5235,YPR138C,0.0012216401733124,27,YDR006C,0.0008483006270085,789,YIL163C,0.0011346074410829,216,YER154W,0.0009707449890021,288,YML003W,0.0009316648945061,254,YBR180W,0.0017133233476783,938,YJL043W,0.0007667546537171,141,YDR148C,0.0011484806714215,618,YKL126W,0.0013771466682727,524,YML098W,0.0013058558936248,68,YGL144C,0.0007454351908691,546
9,YBL088C,0.0012115780945699,1054,YNL088W,0.0012176835446552,491,YDR238C,0.0008389450345264,1536,YBR061C,0.0011208304528243,701,YGR142W,0.0009695877899478,694,YLR390W,0.0008836835003105,330,YML098W,0.0016783631406763,68,YGR263C,0.0007418357376518,14,YOL104C,0.0011413027505596,138,YJL144W,0.001324802694019,17,YBL084C,0.0012995058474711,473,YMR159C,0.0007375350627457,97
