,SM300-Efficiency_filenames,SM300-Efficiency_importance,SM300-Efficiency_original_index,SM300-Rate_filenames,SM300-Rate_importance,SM300-Rate_original_index,SM300-Lag_filenames,SM300-Lag_importance,SM300-Lag_original_index,SM300-AUC_filenames,SM300-AUC_importance,SM300-AUC_original_index,SM60-Efficiency_filenames,SM60-Efficiency_importance,SM60-Efficiency_original_index,SM60-Rate_filenames,SM60-Rate_importance,SM60-Rate_original_index,SM60-Lag_filenames,SM60-Lag_importance,SM60-Lag_original_index,SM60-AUC_filenames,SM60-AUC_importance,SM60-AUC_original_index,Ratio-Efficiency_filenames,Ratio-Efficiency_importance,Ratio-Efficiency_original_index,Ratio-Rate_filenames,Ratio-Rate_importance,Ratio-Rate_original_index,Ratio-Lag_filenames,Ratio-Lag_importance,Ratio-Lag_original_index,Ratio-AUC_filenames,Ratio-AUC_importance,Ratio-AUC_original_index
16,YCR097W,0.0030592364318301,41,YOR053W,0.0001460482285255,270,YCR088W,0.0447734711959008,215,YPL190C,0.0687555079526028,392,YKL223W,0.0023821274158555,48,YDR145W,0.0001092926882022,558,YOR153W,0.0333316713957477,494,YNL017C,0.0607856540609241,89,YLL039C,0.0026919793111598,558,YML085C,0.0026114484221082,55,YNR066C,0.0041288278545347,285,YDR544C,0.0039438400436731,425
17,YCR097W,0.0030261135107038,50,YER187W,0.000145671136816,118,YCR047C,0.0445027753414151,355,YPL190C,0.0685807522640491,462,YOR153W,0.0023517188714508,1393,YKL223W,0.0001072097853357,251,YNR044W,0.0327236288622741,701,YLR311C,0.0588528864710952,174,YPR022C,0.0026902291407368,654,YBR150C,0.0026090578605971,1421,YFR016C,0.0041039563096293,1476,YNR065C,0.003841451585579,1443
18,YKL097C,0.0029385247782086,83,YEL070W,0.0001452838188662,323,YCR018C,0.044341960085675,71,YNL338W,0.0682280286232789,100,YLR311C,0.0022918509435893,207,YPL279C,0.000103254468419,209,YDR504C,0.0324401839116457,121,YKR092C,0.0586583038165706,111,YCR088W,0.002662056083499,392,YIL123W,0.0025353991292913,471,YNL338W,0.0040975699391166,53,YCL017C,0.0038049087191477,548
19,YOR053W,0.0029304483404358,277,YHR211W,0.0001452238116572,122,YNL018C,0.0439021753050665,608,YLR311C,0.0674662819257652,173,YDR038C,0.0022890123875507,2246,YOL105C,0.0001032199158074,716,YDR504C,0.0324401839116457,128,YKL129C,0.0574260787994449,1518,YJL219W,0.0026078782008392,1029,YML085C,0.0025232213766309,42,YKL054C,0.0040442692331339,1432,YCL017C,0.0038049087191477,293
20,YKL223W,0.0028712827409961,76,YMR173W,0.0001441694037004,1678,YCL073C,0.0438831459245503,177,YJR079W,0.0673332597218613,50,YJL020C,0.0022771148185925,533,YLR255C,0.0001028177075997,215,YDR343C,0.0323645630925442,116,YDR544C,0.0572587427557163,308,YOR267C,0.0026028588070618,2569,YDR544C,0.0025184673109589,360,YLR311C,0.0040197264237694,47,YKL202W,0.0037661147188892,509
21,YNR044W,0.0028706534738569,698,YNL144C,0.000143813027904,478,YCR097W,0.0438579930407377,39,YPL190C,0.0673151846096754,449,YMR273C,0.0022653284360616,2530,YLR255C,0.0001027381106456,182,YDR504C,0.0323093072299065,131,YJR023C,0.0572147895302306,106,YHR145C,0.0025810421497335,88,YKL223W,0.0024857115072064,32,YFR016C,0.0040165795440575,1335,YDR544C,0.0037384761053767,360
22,YLL037W,0.0028545444586824,59,YDR038C,0.0001412447377313,2774,YCR108C,0.0436903100145398,59,YCL044C,0.0665200697549353,38,YDL243C,0.0022541227195477,84,YKL223W,0.0001025892496459,11,YDR343C,0.0311613466429744,20,YKL223W,0.0554860312459186,251,YOR053W,0.0024146540665841,327,YHR145C,0.0024668415396425,88,YNL017C,0.0039853460106789,88,YDR544C,0.0037384761053767,369
23,YCR091W,0.0028442788913739,377,YDL248W,0.0001397603125939,10,YLR311C,0.0432493015845243,173,YOL155C,0.0662456208639656,512,YOR053W,0.0022407424422871,321,YDL243C,0.0001024181581626,115,YKR045C,0.0306414348210482,342,YNL285W,0.0549252367973413,572,YLL052C,0.0024040070396596,163,YBR031W,0.0024513047109394,192,YJL159W,0.0039833146349098,117,YCL043C,0.0037190588898139,825
24,YKR047W,0.0028064551507547,36,YGL051W,0.0001393450025845,54,YCR091W,0.0431015127055662,377,YBR150C,0.066118718952702,1421,YKL225W,0.0022344927804922,307,YPR156C,0.0001018901730788,557,YBR289W,0.0304701807858106,216,YPL279C,0.0549195626673695,209,YOL159C,0.002396656478836,70,YNR072W,0.0024337259151013,74,YGL255W,0.0039637092399209,48,YKL225W,0.003688308170353,310
25,YOR153W,0.0027940769593428,544,YFL062W,0.0001381431049966,39,YDR278C,0.0430944677933599,17,YJR155W,0.066103136680556,27,YOR053W,0.0022101661804502,270,YCR045C,9.95148268174317e-05,259,YBR050C,0.0304382103814382,767,YOR305W,0.0547030131814667,573,YJL123C,0.0023844742736446,342,YDL248W,0.0024333041372636,10,YDR343C,0.0039297603826098,116,YCR091W,0.0036874853250899,377
