,SM300-Efficiency_filenames,SM300-Efficiency_importance,SM300-Efficiency_original_index,SM300-Rate_filenames,SM300-Rate_importance,SM300-Rate_original_index,SM300-Lag_filenames,SM300-Lag_importance,SM300-Lag_original_index,SM300-AUC_filenames,SM300-AUC_importance,SM300-AUC_original_index,SM60-Efficiency_filenames,SM60-Efficiency_importance,SM60-Efficiency_original_index,SM60-Rate_filenames,SM60-Rate_importance,SM60-Rate_original_index,SM60-Lag_filenames,SM60-Lag_importance,SM60-Lag_original_index,SM60-AUC_filenames,SM60-AUC_importance,SM60-AUC_original_index,Ratio-Efficiency_filenames,Ratio-Efficiency_importance,Ratio-Efficiency_original_index,Ratio-Rate_filenames,Ratio-Rate_importance,Ratio-Rate_original_index,Ratio-Lag_filenames,Ratio-Lag_importance,Ratio-Lag_original_index,Ratio-AUC_filenames,Ratio-AUC_importance,Ratio-AUC_original_index
17,YPL174C,0.0013680829564872,2231,YPL104W,0.0014691410176832,1383,YDL076C,0.0008159937317667,402,YDR224C,0.0014964091300635,158,YKL112W,0.0012886572322386,448,YLR023C,0.0010242205433082,1283,YBR158W,0.0007519174495485,692,YJL045W,0.0007563917331216,395,YGR165W,0.000868239970741,884,YIL073C,0.0009948639824058,1129,YJL047C,0.0008918593855994,184,YLR330W,0.0007082989019188,1151
18,YML103C,0.0013486049812922,2321,YHR056C,0.0014596775566085,617,YMR044W,0.0008157077302602,205,YLL040C,0.0014682174356328,2550,YEL005C,0.0012672025126443,503,YHR139C,0.0010124400438016,314,YGR055W,0.0007462071031915,188,YDR406W,0.000734087184129,3892,YOR342C,0.0008512161460368,672,YJL091C,0.0009939389514352,559,YDR443C,0.0008814858463169,1976,YNL214W,0.0006994643518033,521
19,YKL129C,0.0013340232688387,1154,YOR011W,0.0014516055476342,661,YDR054C,0.0008110607093687,738,YNL167C,0.0014612927066088,1534,YJL216C,0.0012485626416557,878,YGR058W,0.0010048531913909,834,YNR004W,0.0007422592043749,179,YOL009C,0.0007337834092119,662,YOR254C,0.0008367359704364,1919,YHR217C,0.000973592800915,468,YJR137C,0.0008652772487797,1933,YKR092C,0.0006852320499389,939
20,YDL003W,0.0013209484215348,1315,YDR488C,0.0014472717093852,956,YJL029C,0.00080757245748,1790,YOR122C,0.0014380668016352,161,YGR237C,0.0012259548961956,1425,YHR216W,0.000982421449175,1374,YPL240C,0.0007374082893001,161,YLR051C,0.0007318432140139,179,YNL327W,0.0008133360196097,2195,YLR313C,0.0009726806675903,122,YGR035C,0.0008649610485925,222,YCR060W,0.0006699108782479,262
21,YDR103W,0.0013122660188666,928,YGL081W,0.0014355516468102,714,YIR011C,0.0007963727363942,168,YJL076W,0.0014322697193169,3267,YEL055C,0.0012148813729882,596,YCR033W,0.0009578546756347,1123,YGR015C,0.0007320874976401,89,YHR093W,0.0007310541760893,236,YBL034C,0.0008055037687859,1706,YHR025W,0.0009398870148448,410,YBL028C,0.0008640456295221,260,YNL161W,0.0006531766447125,917
22,YOR011W,0.0013042545905813,661,YPL242C,0.0014009790092222,2998,YDL125C,0.0007952619886766,108,YCR101C,0.0014240879008545,153,YOR122C,0.0012113667288758,161,YJL031C,0.0009526924913434,675,YDR484W,0.0007263176828975,611,YHR031C,0.0007249910671542,1764,YMR268C,0.0007976642157537,1073,YKL111C,0.0009137067986774,17,YGL226W,0.0008484917153454,102,YGR113W,0.0006383301281054,998
23,YOR374W,0.0012975080426668,254,YFL003C,0.0013911256390539,744,YPR184W,0.0007453582702581,4371,YIL101C,0.0014211367926535,236,YLR434C,0.0011910556830906,129,YPR176C,0.0009507924957674,624,YDR267C,0.0007176950489937,785,YFL001W,0.0007206190292598,338,YML064C,0.0007965337684628,503,YDL220C,0.000841017344177,809,YKL051W,0.0008265260278097,287,YFR008W,0.0006352868701872,41
24,YER028C,0.0012903451619347,241,YGR274C,0.0013845541786086,1086,YCR057C,0.0007452271030147,1962,YDL091C,0.0014114345330121,155,YLR126C,0.0011891780560385,248,YER059W,0.0009434023686462,898,YGL086W,0.0007176223640792,100,YLR139C,0.0007120002756789,677,YEL025C,0.0007867343648452,719,YKL067W,0.0008341757934504,8,YPR132W,0.000818531673657,361,YIL169C,0.0006229532152733,3156
25,YDR481C,0.0012811117412595,112,YOL137W,0.0013760656330899,395,YDL115C,0.0007371639639228,589,YPL181W,0.0014053957231904,1034,YKL060C,0.0011731575633118,728,YLR392C,0.0009392014214148,169,YMR269W,0.0007090308173049,129,YLR340W,0.0007071730502095,83,YOR232W,0.0007864441374689,293,YPR136C,0.0008146738420396,260,YFR015C,0.000809888019986,1362,YER184C,0.0006218094976341,1632
26,YMR118C,0.0012541278574542,302,YOR389W,0.0013443649543316,1162,YNL029C,0.0007338929867591,1515,YBR297W,0.001395579962471,136,YPL102C,0.0011532844760571,114,YFL030W,0.0009149677483559,809,YOR320C,0.0007071689626886,1076,YIL058W,0.0006869525120452,268,YOL079W,0.0007697065070335,376,YKL006W,0.0008108112298761,679,YBL065W,0.0008023209006987,248,YJL185C,0.0006154192515521,65
27,YLR112W,0.0012511423632919,291,YFR054C,0.0013364739961748,442,YJR144W,0.0007332439882352,431,YEL061C,0.0013870530737425,461,YEL005C,0.0011332981319882,503,YOR269W,0.0009149589463481,257,YNL257C,0.0007062800046016,2279,YDR369C,0.0006778767899056,2041,YJL164C,0.0007568558828536,935,YBR298C,0.0008085616230341,1445,YGL104C,0.000796305051531,676,YGL174W,0.0006153550362113,331
28,YDR488C,0.00124965360583,956,YJL216C,0.0013244323714531,341,YGR282C,0.0007204779106463,308,YBR061C,0.0013751621744943,758,YGL021W,0.0011280970371357,1013,YKL101W,0.0009113284650826,468,YIL070C,0.0006999467106356,36,YGR254W,0.0006724366411193,723,YOR109W,0.0007522605614277,2834,YEL045C,0.0008060602703841,326,YHL013C,0.0007905255773532,560,YBL022C,0.000612422208812,3143
29,YMR163C,0.0012198334983449,197,YLR255C,0.0013134324848498,52,YEL015W,0.0007166395498258,622,YJL216C,0.0013671455930293,341,YPL272C,0.0011146498038499,672,YKL109W,0.0009101697423895,453,YDR226W,0.0006942054982744,584,YDR479C,0.0006668931239867,1625,YDR415C,0.0007517936872842,1085,YLR344W,0.0008008106352537,270,YOR258W,0.0007898868545401,493,YOR284W,0.0006101872605659,412
30,YLR278C,0.0012103927857128,4367,YNL172W,0.0013090668662549,666,YBR123C,0.0007126404862826,931,YIL144W,0.0013491788448915,1180,YER186C,0.0011096371976305,831,YKL143W,0.0008698857824224,586,YML091C,0.0006904586415609,1493,YCR015C,0.0006589869676453,139,YOR196C,0.0007381519416529,1111,YNR025C,0.0007751034474004,126,YPR066W,0.0007802748509735,329,YHL048W,0.0006056951975118,1171
31,YDR477W,0.0012059146472413,94,YJL023C,0.0012631234674512,51,YMR280C,0.0007072929864883,1543,YPR121W,0.0013434417133047,1496,YML120C,0.0011080775754693,1081,YFR039C,0.0008480596111009,88,YIR002C,0.0006859364832578,1297,YIL024C,0.0006507049907881,319,YOR284W,0.0007377772276176,485,YKL037W,0.0007576177798411,86,YDL201W,0.0007721399712747,128,YKL023W,0.0005997475362395,835
32,YJL181W,0.0012019670550886,685,YMR223W,0.0012503089412896,742,YIL126W,0.0006987421636265,450,YMR122C,0.0013430889855987,94,YBR065C,0.0011013639083543,855,YNL082W,0.0008466680283075,2485,YDR366C,0.0006858254548009,170,YDR493W,0.0006499752444307,75,YJL144W,0.0007322409711215,29,YLR289W,0.0007523845465227,1238,YFL057C,0.0007679052803157,424,YCR006C,0.0005953707199332,84
33,YHR139C,0.0011947527866342,314,YOL136C,0.0012496234436243,636,YOR181W,0.0006937188265799,860,YBR176W,0.0013399588486021,641,YHR130C,0.0010993305447571,94,YLR084C,0.0008368942018743,360,YER086W,0.0006856732872854,1070,YEL010W,0.0006492733532475,371,YPL231W,0.000726984109425,2217,YLR313C,0.0007515364096873,293,YLR185W,0.0007530421340231,353,YNR001C,0.0005828549208164,629
34,YOR122C,0.001187726196362,161,YGR184C,0.0012325229898469,5613,YNR045W,0.0006901854939575,918,YJR094C,0.0013361317891065,234,YJL091C,0.0010844481038997,559,YPL257W,0.0008142789464746,150,YER092W,0.000672176458374,7,YHR093W,0.0006452602198385,191,YNL192W,0.0007265920305712,329,YGR031W,0.0007440101421479,361,YNR027W,0.0007432623247408,726,YKL109W,0.0005644629143121,229
35,YIL151C,0.0011800069063445,783,YGL081W,0.0012323088751447,714,YGL008C,0.0006838869753169,232,YJL218W,0.0013314757797722,281,YPL267W,0.0010816983899622,324,YNR001C,0.0008036863412615,70,YFL033C,0.0006708427574723,4142,YGR249W,0.0006440705406099,583,YDR263C,0.0007255138674933,315,YEL023C,0.0007431479725532,1106,YPR163C,0.0007284363207543,746,YIL073C,0.0005640382854208,2491
36,YGR087C,0.0011791936531213,907,YER028C,0.001227538080523,241,YCR016W,0.0006783595683297,64,YJL219W,0.0013252370314701,1193,YER142C,0.0010815259178232,125,YFL050C,0.0007943984662737,529,YIL123W,0.0006703095394341,1126,YHR190W,0.0006422818548215,1062,YDR171W,0.0007214505473287,1029,YDR412W,0.0007274058506449,117,YIL164C,0.0007260822086241,337,YOR051C,0.0005534391929269,620
37,YNR018W,0.0011780321650658,575,YLR361C,0.0011825839588227,1016,YDR490C,0.0006761171343411,69,YER151C,0.0013157333214112,967,YER096W,0.001058659359945,274,YKR104W,0.0007906410890032,309,YNL291C,0.0006547574424417,297,YDR386W,0.0006384946218485,1235,YPL236C,0.0007082612415509,1004,YDR164C,0.0007254032097107,1754,YIL088C,0.0007258494161894,170,YLR328W,0.0005511703838911,437
38,YOL131W,0.0011634757149507,142,YOL145C,0.0011721008643436,1483,YML006C,0.0006745526505405,1124,YLR072W,0.0013064366104873,1793,YMR023C,0.0010555282083705,457,YCL022C,0.0007872015351176,243,YAL053W,0.000654442339969,850,YBR050C,0.0006364192385853,1110,YPR086W,0.0007016970241923,53,YEL064C,0.0007151280916298,146,YHR056C,0.0007219387384093,264,YNL331C,0.0005452175323396,707
39,YKR093W,0.0011607173458377,1782,YPL242C,0.001128453077006,2998,YNR049C,0.0006716717496402,402,YAL054C,0.0013019140104083,1970,YGR045C,0.0010486065198623,96,YDR516C,0.0007850604687739,506,YDL035C,0.0006535168685019,1790,YPR108W,0.0006354790604075,751,YDR268W,0.0006960105740399,76,YDL115C,0.0007093953582771,23,YLR088W,0.0007144103735468,1160,YLR197W,0.0005373526938874,285
40,YOL145C,0.0011587121060092,1483,YKL129C,0.0011133390780781,1154,YHL012W,0.0006660143439376,127,YMR205C,0.0013003696772611,920,YGR184C,0.0010255640806481,5613,YMR187C,0.0007843501704741,34,YEL030W,0.0006470090557515,1007,YDR505C,0.0006333880505568,1724,YMR184W,0.0006900644010409,510,YKR062W,0.0007009899303529,488,YLL046C,0.000711697245192,276,YIR023W,0.0005337770518727,3169
41,YFL001W,0.0011435007622095,338,YHL007C,0.0011084761848131,1349,YBR160W,0.0006607857804456,891,YER027C,0.0012994358947063,446,YLR096W,0.0010209688765586,3251,YOR284W,0.0007796107111148,322,YPL189W,0.0006470087489074,475,YCR053W,0.000632809614889,1496,YGR151C,0.0006860246112921,152,YGR125W,0.0006981232620231,1478,YBL065W,0.0007109700062678,249,YNL338W,0.0005286560503709,222
42,YKR095W,0.0011385385697853,5170,YCR093W,0.0011017543247857,4756,YJR002W,0.0006597537039081,985,YLL057C,0.001284228545084,284,YMR020W,0.0010105887489322,446,YML100W,0.0007784098597103,2644,YGR082W,0.0006421105569028,53,YGL094C,0.0006320602261345,2606,YIR019C,0.0006854921521052,2564,YLR104W,0.000696186348004,268,YFR010W,0.0007108429758255,906,YOR284W,0.000527176069813,180
43,YGR097W,0.0011379026745277,1007,YLR218C,0.001081990561177,501,YLR362W,0.0006567559465776,1721,YGR244C,0.0012819689204606,35,YDL021W,0.0010077208858881,401,YMR261C,0.0007770065261132,1061,YCR071C,0.000636718912559,198,YLR024C,0.0006272907592409,1372,YEL020C,0.0006849784188435,783,YDR337W,0.0006934538795743,575,YBR049C,0.0007064375260642,1778,YKR092C,0.0005236622162514,939
44,YDR194C,0.0011327684752554,380,YDR091C,0.0010192741085121,474,YCR102C,0.0006567488825244,546,YLL036C,0.0012741776723008,75,YJL211C,0.001005060434219,381,YOL082W,0.0007689276131922,341,YGR071C,0.0006332331451265,2590,YCL034W,0.0006233230238919,234,YDR166C,0.0006706352279225,2863,YAL018C,0.0006860253465751,818,YIL013C,0.0007048133023503,4152,YHL006C,0.0005202779785166,186
45,YBL009W,0.0011248694131773,1468,YBR289W,0.0010162101040127,2959,YBR126C,0.0006533152580978,680,YOR381W,0.0012688436132491,1859,YMR094W,0.0010021596432809,636,YDR436W,0.0007687724678391,175,YKL125W,0.0006327103031875,176,YHR190W,0.0006117563939468,1062,YNL214W,0.0006704214171091,521,YLR311C,0.0006846123635887,344,YBL063W,0.0006988179332353,56,YJL193W,0.0005190423506368,770
46,YNL286W,0.0011170404791413,55,YGR283C,0.0010064565452458,674,YLR459W,0.00065309271096,167,YNL100W,0.0012621151082281,79,YJR044C,0.0009964827329829,188,YOL149W,0.0007687695488478,113,YDL230W,0.0006290647654458,911,YNL097C,0.0006101629670069,986,YJL202C,0.0006701463182588,344,YPR121W,0.0006804198235851,212,YMR257C,0.0006891169797806,2267,YFL003C,0.0005177087680291,1182
47,YOR122C,0.0011028430801433,380,YJR031C,0.0009944682451217,2699,YDR114C,0.0006444389434072,327,YER024W,0.0012619229493751,1921,YDL116W,0.0009917167401267,487,YJL106W,0.0007594376902518,187,YOR084W,0.0006276442600662,86,YJL216C,0.000610022187796,878,YML127W,0.0006601856646624,635,YER001W,0.000677230964066,834,YBR140C,0.0006849766783957,1938,YOL051W,0.0005085163454229,299
48,YCR101C,0.0010939250862667,153,YJR106W,0.0009901136534176,1100,YDL171C,0.0006409544815053,4896,YER068W,0.0012607802432437,1597,YOR343C,0.0009902007701805,344,YDR509W,0.000755320492573,274,YLR305C,0.0006197672367517,917,YKL194C,0.0006093742153697,515,YNL326C,0.0006564351726356,712,YHL014C,0.0006744101430802,382,YBR073W,0.000678713338019,2653,YAR015W,0.0004951662754712,512
49,YGL119W,0.0010936252698278,1189,YEL061C,0.000982069355248,461,YMR053C,0.0006360713330547,563,YER030W,0.001250581021385,495,YDR263C,0.0009885691453413,315,YLR040C,0.0007546910634962,418,YEL074W,0.0006182211992015,270,YDL001W,0.0006022950209622,61,YCR066W,0.0006433417715161,1039,YAR027W,0.0006645894660311,560,YNL329C,0.000677991035515,654,YDR412W,0.0004931921459434,117
