,filename,phenotype,r2_LinearRegression,r2_Ridge,r2_Lasso,r2_RandomForestRegressor,r2_SVR,MAE_LinearRegression,MAE_Ridge,MAE_Lasso,MAE_RandomForestRegressor,MAE_SVR,MSE_LinearRegression,MSE_Ridge,MSE_Lasso,MSE_RandomForestRegressor,MSE_SVR,RMSE_LinearRegression,RMSE_Ridge,RMSE_Lasso,RMSE_RandomForestRegressor,RMSE_SVR
0,YCL059C,SM300-Efficiency,0.3664746293474813,0.3656926897503454,-0.003480663932635464,0.13923509976708692,-0.03738929138744784,0.12314735850213496,0.12365063735952929,0.1489875512758117,0.1399472421052632,0.15375618549191372,0.023341629606325763,0.023370439414577115,0.03697227460756676,0.031714050312884226,0.03822160519348143,0.023341629606325763,0.023370439414577115,0.03697227460756676,0.031714050312884226,0.03822160519348143
1,YBR004C,SM300-Efficiency,0.2750294391690141,0.29893188666197756,-0.003480663932635464,0.22435565180972883,-0.03054411143672775,0.12919676952410064,0.12620128802715663,0.1489875512758117,0.13204808947368424,0.15309716312072097,0.026710839202821208,0.025830176640735093,0.03697227460756676,0.028577865892015802,0.03796940115809483,0.026710839202821208,0.025830176640735093,0.03697227460756676,0.028577865892015802,0.03796940115809483
2,YDR241W,SM300-Efficiency,0.15684223868257174,0.15978265954598148,-0.003480663932635464,-0.24794903627146625,-0.03802967990700723,0.13802098078731934,0.1375076954107716,0.1489875512758117,0.16057273684210535,0.1538324479266459,0.03106533230721214,0.030956995344148242,0.03697227460756676,0.04597947536373689,0.03824519968917195,0.03106533230721214,0.030956995344148242,0.03697227460756676,0.04597947536373689,0.03824519968917195
3,YEL023C,SM300-Efficiency,0.13665063641056396,0.19049811345103174,-0.003480663932635464,-0.16167687278000553,-0.026974448500898918,0.1453543176118638,0.13982454043308715,0.1489875512758117,0.15256904210526323,0.15284814274240965,0.03180927236584944,0.029825314149591803,0.03697227460756676,0.042800860932747396,0.03783788037940569,0.03180927236584944,0.029825314149591803,0.03697227460756676,0.042800860932747396,0.03783788037940569
4,YMR303C,SM300-Efficiency,0.05373755231991706,0.1936229779528238,-0.003480663932635464,0.28775050833586346,-0.02987077825503115,0.147534769289352,0.13809419218070923,0.1489875512758117,0.12875739473684208,0.15303822009306794,0.034864124764844406,0.02971018153904511,0.03697227460756676,0.02624214371177368,0.037944592848188276,0.034864124764844406,0.02971018153904511,0.03697227460756676,0.02624214371177368,0.037944592848188276
5,YIL063C,SM300-Efficiency,0.2938649323814968,0.32649585053269703,-0.003480663932635464,0.23314429337911857,-0.04084158247176162,0.12806745031312405,0.12471673058761377,0.1489875512758117,0.13010981052631584,0.1541731587228985,0.026016863671004066,0.024814609048722475,0.03697227460756676,0.028254056892789516,0.038348801519810516,0.026016863671004066,0.024814609048722475,0.03697227460756676,0.028254056892789516,0.038348801519810516
6,YLR389C,SM300-Efficiency,0.2942180915896755,0.36987231891036965,-0.003480663932635464,0.3089228641292837,-0.03134390129659281,0.12647812583696785,0.12153210679795558,0.1489875512758117,0.12617824210526316,0.15314985884013657,0.02600385186151508,0.023216445020249072,0.03697227460756676,0.025462068738115805,0.03799886864201365,0.02600385186151508,0.023216445020249072,0.03697227460756676,0.025462068738115805,0.03799886864201365
7,YKL041W,SM300-Efficiency,0.19067876598559053,0.1896149767574914,-0.003480663932635464,-0.005319895714488876,-0.03580809252722483,0.13631130838054775,0.1361975042679921,0.1489875512758117,0.14456390000000005,0.1536138424837138,0.029818658181663047,0.029857852466993587,0.03697227460756676,0.03704003932386847,0.03816334745063642,0.029818658181663047,0.029857852466993587,0.03697227460756676,0.03704003932386847,0.03816334745063642
8,YFL032W,SM300-Efficiency,0.18906957931416246,0.19292765620482222,-0.003480663932635464,-0.1704004825155545,-0.03374732903195765,0.1346061906330682,0.13332553279487583,0.1489875512758117,0.1539079263157895,0.15339317766994406,0.029877947108345217,0.02973579999641227,0.03697227460756676,0.04312227389694739,0.03808742061259483,0.029877947108345217,0.02973579999641227,0.03697227460756676,0.04312227389694739,0.03808742061259483
9,YLR247C,SM300-Efficiency,0.31453529944054304,0.3855859187504338,-0.003480663932635464,0.3160031794762146,-0.06037090750081053,0.11913083458940887,0.11700999448487596,0.1489875512758117,0.12146228421052631,0.15654646921503282,0.025255283986796453,0.0226374926305902,0.03697227460756676,0.025201201366452656,0.039068340613911984,0.025255283986796453,0.0226374926305902,0.03697227460756676,0.025201201366452656,0.039068340613911984
10,YBR111C,SM300-Efficiency,0.2053248016133873,0.19873516813582914,-0.003480663932635464,-0.13229891814973604,-0.03935673052388311,0.13508239986838583,0.1356872587723008,0.1489875512758117,0.15094764736842115,0.15399261613796436,0.029279039162975647,0.029521827835694757,0.03697227460756676,0.041718458605489527,0.0382940935857748,0.029279039162975647,0.029521827835694757,0.03697227460756676,0.041718458605489527,0.0382940935857748
11,YGL116W,SM300-Efficiency,0.23392281030900153,0.2512500625244177,-0.003480663932635464,0.0757537047326663,-0.03666397792086529,0.13178942098911298,0.1310861809517826,0.1489875512758117,0.14395035263157901,0.15368842572350944,0.028225373189403078,0.027586967338519692,0.03697227460756676,0.034052960920773714,0.03819488172024781,0.028225373189403078,0.027586967338519692,0.03697227460756676,0.034052960920773714,0.03819488172024781
12,YGR148C,SM300-Efficiency,0.18295615292507295,0.18685512332893606,-0.003480663932635464,0.10158021122492455,-0.03359929575087506,0.13635103160717024,0.1361351461405151,0.1489875512758117,0.1411193421052631,0.1533433050986214,0.030103190391424298,0.029959536597545036,0.03697227460756676,0.03310140826559472,0.03808196646951469,0.030103190391424298,0.029959536597545036,0.03697227460756676,0.03310140826559472,0.03808196646951469
13,YLR460C,SM300-Efficiency,0.19601971771142346,0.2913928951943653,-0.003480663932635464,0.3223314896440367,-0.03777786225005175,0.13864764525743004,0.12962993120949426,0.1489875512758117,0.12553886315789475,0.15385769396621174,0.029621875980499965,0.026107943490484155,0.03697227460756676,0.024968040898357895,0.03823592171113149,0.029621875980499965,0.026107943490484155,0.03697227460756676,0.024968040898357895,0.03823592171113149
14,YHR167W,SM300-Efficiency,0.2832328322529709,0.28849766310700997,-0.003480663932635464,0.08766812944108804,-0.03674649212868775,0.13028832287149725,0.1295245593200731,0.1489875512758117,0.14174121578947374,0.15373704040290528,0.026408593118053377,0.026214615516795887,0.03697227460756676,0.033613985464700034,0.038197921876436454,0.026408593118053377,0.026214615516795887,0.03697227460756676,0.033613985464700034,0.038197921876436454
15,YGL098W,SM300-Efficiency,0.0986358611150967,0.10146166649746347,-0.003480663932635464,-0.2280963253201853,-0.039123584408520706,0.14420618708284785,0.14400525995279967,0.1489875512758117,0.16448750526315803,0.15394415985541363,0.03320988999794296,0.03310577593143473,0.03697227460756676,0.04524802142807373,0.038285503542627296,0.03320988999794296,0.03310577593143473,0.03697227460756676,0.04524802142807373,0.038285503542627296
16,YLR323C,SM300-Efficiency,0.06553161212403902,0.0856377510662012,-0.003480663932635464,-0.21096310689838993,-0.036850771543299965,0.14147200292126905,0.1401682448619061,0.1489875512758117,0.14829728947368415,0.1536489988038055,0.034429584037266085,0.03368879279236631,0.03697227460756676,0.044616764564668364,0.038201763950620374,0.034429584037266085,0.03368879279236631,0.03697227460756676,0.044616764564668364,0.038201763950620374
17,YCR097W,SM300-Efficiency,0.3237021609743721,0.3367732787736347,-0.003480663932635464,0.24698328192818653,-0.03727199892913924,0.12378778114080752,0.1233503362909219,0.1489875512758117,0.12624127368421056,0.15370708995980767,0.024917539838752743,0.0244359471443721,0.03697227460756676,0.027744172743231595,0.03821728366628729,0.024917539838752743,0.0244359471443721,0.03697227460756676,0.027744172743231595,0.03821728366628729
18,YMR265C,SM300-Efficiency,0.3010783075775433,0.3148809592068951,-0.003480663932635464,0.18671320705319772,-0.03490854967861834,0.12854535318218166,0.12743516711051,0.1489875512758117,0.13735654210526316,0.15370496040667692,0.02575109383788096,0.025242548486988946,0.03697227460756676,0.029964765365478957,0.03813020466431743,0.02575109383788096,0.025242548486988946,0.03697227460756676,0.029964765365478957,0.03813020466431743
19,YOL068C,SM300-Efficiency,0.1912325584302429,0.19753801468090026,-0.003480663932635464,-0.1925706965978764,-0.036073402573256086,0.13663316567515765,0.135952149673118,0.1489875512758117,0.15324323157894745,0.15358071033654735,0.02979825423460637,0.02956593579698777,0.03697227460756676,0.04393911399424215,0.03817312254270403,0.02979825423460637,0.02956593579698777,0.03697227460756676,0.04393911399424215,0.03817312254270403
20,YNR077C,SM300-Efficiency,0.015107138841639056,0.014668688154026666,-0.003480663932635464,-0.020037485214364326,-0.03915907003987096,0.14636293357653674,0.1459117757397969,0.1489875512758117,0.1480935631578947,0.15390426416026065,0.03628742499040672,0.036303579281971,0.03697227460756676,0.037582294675773655,0.038286810976396635,0.03628742499040672,0.036303579281971,0.03697227460756676,0.037582294675773655,0.038286810976396635
21,YBR248C,SM300-Efficiency,0.3165867858170741,0.31442001039885525,-0.003480663932635464,0.177065997725108,-0.028667733128207473,0.12297079229625699,0.12281345027368272,0.1489875512758117,0.1263854210526316,0.15293332012630248,0.02517969895522291,0.025259531700042685,0.03697227460756676,0.030320207463463176,0.037900267813942075,0.02517969895522291,0.025259531700042685,0.03697227460756676,0.030320207463463176,0.037900267813942075
22,YLR317W,SM300-Efficiency,0.2808222111570404,0.29191230465292706,-0.003480663932635464,0.2932147429085946,-0.030209870689035467,0.1276397928012773,0.12660028317139446,0.1489875512758117,0.128905752631579,0.15301147354949543,0.026497410121047983,0.02608880635129858,0.03697227460756676,0.02604081927334211,0.03795708638098663,0.026497410121047983,0.02608880635129858,0.03697227460756676,0.02604081927334211,0.03795708638098663
23,YGR010W,SM300-Efficiency,0.3895889875683177,0.3796012573599571,-0.003480663932635464,0.24757594691912999,-0.034546812480781286,0.12042668192513405,0.12194787684047868,0.1489875512758117,0.1307433473684211,0.15349648970490573,0.022490003431318767,0.022857991691822597,0.03697227460756676,0.02772233657480003,0.03811687680709516,0.022490003431318767,0.022857991691822597,0.03697227460756676,0.02772233657480003,0.03811687680709516
