,SM300-Efficiency_filenames,SM300-Efficiency_importance,SM300-Efficiency_original_index,SM300-Rate_filenames,SM300-Rate_importance,SM300-Rate_original_index,SM300-Lag_filenames,SM300-Lag_importance,SM300-Lag_original_index,SM300-AUC_filenames,SM300-AUC_importance,SM300-AUC_original_index,SM60-Efficiency_filenames,SM60-Efficiency_importance,SM60-Efficiency_original_index,SM60-Rate_filenames,SM60-Rate_importance,SM60-Rate_original_index,SM60-Lag_filenames,SM60-Lag_importance,SM60-Lag_original_index,SM60-AUC_filenames,SM60-AUC_importance,SM60-AUC_original_index,Ratio-Efficiency_filenames,Ratio-Efficiency_importance,Ratio-Efficiency_original_index,Ratio-Rate_filenames,Ratio-Rate_importance,Ratio-Rate_original_index,Ratio-Lag_filenames,Ratio-Lag_importance,Ratio-Lag_original_index,Ratio-AUC_filenames,Ratio-AUC_importance,Ratio-AUC_original_index
0,YEL069C,0.0967633203611517,62,YPR042C,0.0027104703334296,392,YBR112C,1.0939965595660976,172,YEL033W,2.861410986322795,22,YAL065C,0.0665043417430658,31,YPL249C,0.0010352319169165,169,YBR112C,2.2977409595425007,176,YPL249C,1.3840536294600938,169,YIL049W,0.0818173721210127,17,YEL023C,-0.0,3,YOR053W,0.0171104479609286,94,YEL023C,0.0,15
1,YDR496C,0.0812102885663154,209,YLR311C,0.0021285070967015,1,YKR096W,0.9663507782247044,663,YEL069C,2.2209034316317635,62,YPL016W,0.0619933781475368,218,YDR046C,0.0006366517120058,43,YDR150W,1.9340462081082264,2040,YHR207C,0.506312688215493,135,YOR082C,0.0740205926192117,18,YER082C,0.0,81,YKL220C,0.0122724322254295,149,YDR362C,-0.0,103
2,YEL033W,0.0766869389020882,22,YPL249C,0.0019306253878162,169,YBR112C,0.8332958566091438,174,YMR173W,2.095220390243916,331,YAL063C,0.0466523307322674,322,YML097C,0.0003670924899061,41,YIL169C,1.7476423319384835,53,YOR347C,0.1778839986296397,111,YHR211W,0.0736391038944868,377,YBR259W,0.0,68,YCR045C,0.0111871422908637,146,YHR164C,-0.0,69
3,YJL123C,0.0681282094430612,186,YJR119C,0.0018355038145312,15,YDR150W,0.7346450869292577,2040,YHL048W,1.524613369787717,44,YPL257W,0.0464192634778452,119,YIR023W,0.0002856689806456,226,YIR042C,1.4251924003974057,29,YML097C,0.1370803460846038,41,YER027C,0.0683699736894671,60,YDL160C,0.0,40,YMR061W,0.0072971752589573,89,YHR164C,0.0,101
4,YOR334W,0.0593742127792884,106,YKR018C,0.001402920739677,161,YBR289W,0.539737573675219,196,YLR359W,1.105079665470439,71,YPR042C,0.0398872035578484,402,YJL185C,9.736834994192397e-18,46,YOR069W,0.8227306480878653,283,YPL248C,0.0695150842235354,8,YAL014C,0.0658632568733173,85,YDL160C,-0.0,40,YMR008C,0.001336040688631,75,YHR164C,-0.0,101
5,YLR311C,0.0504557650908208,1,YDR389W,0.0006756424290658,83,YMR169C,0.4325887587249699,58,YDR145W,1.0944161224765108,381,YFL062W,0.0368703007515348,46,YDL124W,1.2899225847007028e-18,50,YKR096W,0.7300303520933156,663,YJL185C,4.273079586022721e-15,46,YKL202W,0.0581781480186279,145,YDL160C,0.0,59,YFL041W,1.2864293426289263e-16,119,YHR164C,0.0,112
6,YOR054C,0.0470271907530205,391,YDR496C,0.0005750131478245,209,YOR381W,0.3888419170429075,208,YNL193W,0.8738875955977428,31,YOR182C,0.0353227367726318,64,YER082C,-0.0,81,YIR006C,0.5001082803976047,83,YDL124W,1.6511009084168993e-15,50,YMR027W,0.0547349499007309,17,YDL160C,-0.0,59,YHR074W,0.0,129,YHR164C,-0.0,112
7,YDR389W,0.04237542642067,83,YOL098C,0.0005552569426004,281,YJL020C,0.3787932491132879,665,YNL027W,0.8694161961852919,158,YDR088C,0.0333580266641837,6,YER082C,-0.0,93,YHR217C,0.49947541510362,608,YNL027W,1.3152599576835898e-15,218,YKR042W,0.0537731228828609,14,YDL160C,0.0,71,YHR074W,-0.0,129,YHR164C,0.0,136
8,YGL062W,0.0385765055016385,0,YBR026C,0.0005137983468307,254,YHR216W,0.2882476910179188,54,YOR054C,0.8010040063563661,339,YKL202W,0.0321220928565569,21,YER082C,0.0,93,YDL039C,0.4285411349529301,9,YDL160C,-0.0,212,YPL257W,0.0481112636675827,119,YDL160C,-0.0,71,YHR074W,0.0,149,YHR164C,-0.0,136
9,YPL016W,0.0362361000377265,221,YGL081W,0.000130359514772,96,YGR140W,0.1052973058216448,198,YKL146W,0.7621938423314424,141,YHL039W,0.0285132101910372,45,YER082C,0.0,81,YNR071C,0.4215654002755389,87,YDL160C,0.0,212,YNR066C,0.0446811480089286,109,YDL160C,0.0,120,YHR074W,-0.0,149,YHR164C,-0.0,154
10,YKL202W,0.0283799736768518,145,YDR543C,8.076912882271766e-05,34,YHL008C,0.0990313791885574,586,YCR041W,0.6913157661615653,124,YGR089W,0.0277869435275409,99,YER082C,-0.0,97,YNL027W,0.3606753070691562,230,YDL160C,-0.0,224,YPL095C,0.0362048368332759,64,YDL160C,-0.0,120,YHR074W,-0.0,173,YHR164C,0.0,154
11,YOR175C,0.0256351414580014,93,YAL054C,3.80097188291807e-17,109,YHR161C,2.5454148592817695e-14,590,YNL112W,0.6759547109236003,128,YDR389W,0.0271279385816335,83,YER082C,0.0,78,YIR031C,0.2722993304106643,198,YDL160C,0.0,191,YOR053W,0.0357864925196735,88,YDL160C,0.0,131,YHR074W,-0.0,248,YHR164C,0.0,236
12,YJR115W,0.0255965671250946,33,YNL123W,1.8921431585729118e-17,296,YMR043W,6.285243458069308e-15,59,YOR054C,0.6658419646313671,224,YDR496C,0.0271050272426539,209,YER082C,-0.0,78,YCL073C,0.2590435508118421,1,YDL160C,-0.0,191,YBR298C,0.0325929019193799,130,YDL160C,-0.0,131,YHR074W,0.0,221,YHR164C,-0.0,236
13,YIL125W,0.0255874585541621,104,YLR425W,8.991034866977668e-18,296,YLR433C,2.4582668880353405e-15,50,YDL227C,0.6647496492556225,13,YOR175C,0.0263009681765032,93,YER082C,-0.0,71,YBR108W,0.2466348950387207,506,YDL160C,0.0,179,YJR126C,0.0306903986542436,34,YDL160C,0.0,171,YHR074W,-0.0,221,YHR164C,0.0,264
14,YPR190C,0.0228750678285667,192,YGL081W,4.306899664494142e-18,99,YNR070W,7.538685123308386e-16,124,YER014W,0.6382717764204069,119,YNR066C,0.0254159340507141,109,YER082C,0.0,71,YBR112C,0.1499200095282893,173,YDL160C,-0.0,179,YAL063C,0.029950219838227,384,YDL160C,-0.0,171,YHR074W,-0.0,224,YHR164C,-0.0,264
