,SM300-Efficiency_filenames,SM300-Efficiency_importance,SM300-Efficiency_original_index,SM300-Rate_filenames,SM300-Rate_importance,SM300-Rate_original_index,SM300-Lag_filenames,SM300-Lag_importance,SM300-Lag_original_index,SM300-AUC_filenames,SM300-AUC_importance,SM300-AUC_original_index,SM60-Efficiency_filenames,SM60-Efficiency_importance,SM60-Efficiency_original_index,SM60-Rate_filenames,SM60-Rate_importance,SM60-Rate_original_index,SM60-Lag_filenames,SM60-Lag_importance,SM60-Lag_original_index,SM60-AUC_filenames,SM60-AUC_importance,SM60-AUC_original_index,Ratio-Efficiency_filenames,Ratio-Efficiency_importance,Ratio-Efficiency_original_index,Ratio-Rate_filenames,Ratio-Rate_importance,Ratio-Rate_original_index,Ratio-Lag_filenames,Ratio-Lag_importance,Ratio-Lag_original_index,Ratio-AUC_filenames,Ratio-AUC_importance,Ratio-AUC_original_index
0,YJR119C,0.0015291602524188,15,YEL061C,0.002398138776414,80,YGR140W,0.0030609605838473,198,YNL132W,0.0018071876254473,86,YPR194C,0.0025636700884364,4,YER187W,0.0017112484739199,33,YLR359W,0.0031857592062063,71,YIL026C,0.0021425755625613,13,YIL121W,0.0049964727722421,94,YIL121W,0.0022647800255224,94,YDR145W,0.0038006378365421,200,YBR102C,0.0018121861813007,116
1,YOL098C,0.001393020798575,281,YDR205W,0.0019449692946592,139,YNR070W,0.0023287214923911,92,YDL189W,0.0015061569658568,38,YIL058W,0.0024853067071506,18,YBL063W,0.0014914162660672,23,YKL187C,0.0027914563552434,37,YIL059C,0.0020679192227471,84,YIL072W,0.0028442841469224,77,YHR048W,0.0022289259646192,33,YBL013W,0.0028757238139992,78,YDR145W,0.0017950664991137,239
2,YHR111W,0.0012907805058043,96,YLR127C,0.0017033363285709,233,YDL093W,0.002142865256678,144,YNL193W,0.0014182756695587,31,YML007W,0.0023831764520245,6,YML111W,0.001287990527095,161,YEL050C,0.0023890854421827,16,YIL060W,0.0020426292343485,160,YJL085W,0.0023718439242852,78,YOR211C,0.0022209374784746,14,YGR083C,0.0026931810409154,85,YIL060W,0.0017866857411703,163
3,YKR028W,0.0012863881614043,148,YKR048C,0.0016986091958316,36,YEL077C,0.0020311656886126,2131,YCR037C,0.0013843626437169,121,YPL084W,0.0022966120942133,61,YBR026C,0.0012315680344659,254,YBR247C,0.0021115392247651,102,YIL058W,0.0017432394208798,17,YDR170C,0.0023413750705722,176,YPL054W,0.0018141222954293,39,YPL231W,0.0025190778998212,327,YBL013W,0.0017855256129045,78
4,YMR026C,0.0010327635283491,7,YDR194C,0.0015938668352726,195,YHR161C,0.0020241454172843,590,YOL100W,0.0012638269739273,152,YLR247C,0.0022873147024796,164,YIL058W,0.0011695307705357,44,YNL161W,0.0020977602611167,575,YHR207C,0.0016871723736374,135,YJL084C,0.0023044478394786,297,YEL059W,0.0017161573870198,51,YGL158W,0.0024646710064694,101,YOL155C,0.0017432380805038,70
5,YNL193W,0.0010300218707597,31,YLR227C,0.0015588491324044,14,YHR028C,0.0019792484131685,97,YOR112W,0.0012484067918358,107,YHR206W,0.0021549250571002,123,YOL020W,0.0011166960709867,52,YIL047C,0.0020057910572787,130,YPL257W,0.001515361812716,119,YJL025W,0.0020108341004845,239,YPL054W,0.0016808423779848,43,YGL216W,0.002244734021819,251,YDR028C,0.0015513651875009,206
6,YAL054C,0.0010151215586562,109,YJR116W,0.0015572130493483,24,YHR161C,0.0019239854030146,590,YOR310C,0.0012474342718089,666,YAL067C,0.0021292979237751,90,YER186C,0.0011081088737032,28,YJR152W,0.0019966842025156,136,YBR033W,0.001419647626482,12,YMR124W,0.0019974589901911,143,YLR113W,0.0016721121316306,97,YEL074W,0.0020137004410814,209,YDR354W,0.0015478006898337,133
7,YOL156W,0.0010081597243802,72,YEL053C,0.0015061775919794,172,YOR227W,0.0019210160329596,368,YPL274W,0.0012099703578511,296,YPL272C,0.0020747632401906,137,YIL162W,0.0010826110351574,48,YDR421W,0.0019778982149333,437,YPL249C,0.001384711059859,169,YDR128W,0.0019507746566185,68,YLR247C,0.0016465935160064,111,YDL039C,0.002011593883008,9,YJL062W,0.0015093657858727,308
8,YDL233W,0.0009623467328372,185,YNL189W,0.0015029162934925,109,YGR283C,0.0019141512091426,101,YKR019C,0.0011323234980894,30,YDR343C,0.0019514565600322,20,YJR119C,0.0009984884231279,15,YLL035W,0.0019601713179818,170,YDL039C,0.0013337621582861,9,YMR192W,0.0019308422013498,59,YOR389W,0.0015774654418821,410,YBR297W,0.0017365950401399,121,YLR026C,0.0014212471955478,22
9,YCL073C,0.0009594085066984,384,YBR019C,0.0013781301458108,27,YER051W,0.0019056772608291,36,YLL021W,0.0011239725802926,158,YJL020C,0.0019432069697678,291,YNL169C,0.0009980690439447,103,YJL010C,0.0018799728432086,23,YIL059C,0.0012814677195645,84,YIL049W,0.0018873964179358,57,YNL285W,0.0015561321484967,28,YFL041W,0.0017214600662066,115,YOR182C,0.0013256877739327,63
10,YOR111W,0.0009356088696666,22,YLR234W,0.0013757922005467,59,YPL158C,0.0018181238774128,68,YOL075C,0.001121336725015,127,YBR033W,0.0018023143793774,12,YDR354W,0.0009697378768579,117,YGL139W,0.0018636772943025,243,YOR082C,0.0011664467737722,55,YPL105C,0.0017889562430003,125,YPL032C,0.001455959789359,236,YPR185W,0.001694992673078,173,YBR225W,0.0013086319560583,8
11,YHR111W,0.0009222011578155,96,YNL182C,0.0013321774639796,169,YOR267C,0.0017172547409856,210,YDL189W,0.0011091246125622,61,YJL084C,0.0017659545747561,116,YBR098W,0.0009336894186725,179,YNR071C,0.0018613185073282,40,YAL065C,0.0011327822100877,7,YCL063W,0.0017865564132874,185,YMR023C,0.0014320394728017,13,YMR128W,0.001593563300171,124,YEL059W,0.0012807527492507,51
